giornata,partita,titolari
4,Lazio,Lazzari
4,Lazio,Provedel
4,Udinese,Silvestri
4,Udinese,Rodrigo Becao
4,Udinese,Bijol
4,Udinese,Masina
4,Udinese,Pereyra
4,Udinese,Lovric
4,Udinese,Walace
4,Udinese,Makengo
4,Udinese,Udogie
4,Udinese,Beto
4,Udinese,Deulofeu
4,Fiorentina,Cabral
4,Fiorentina,Kouame'
4,Fiorentina,Maleh
4,Fiorentina,Mandragora
4,Fiorentina,Barak
4,Fiorentina,Terzic
4,Fiorentina,Igor
4,Fiorentina,Martinez Quarta
4,Fiorentina,Venuti
4,Fiorentina,Terracciano
4,Juventus,Szczesny
4,Juventus,Danilo
4,Juventus,Gatti
4,Juventus,Bremer
4,Juventus,De Sciglio
4,Juventus,Rabiot
4,Juventus,Locatelli
4,Juventus,Miretti
4,Juventus,Cuadrado
4,Juventus,Vlahovic
4,Juventus,Kean
4,Spezia,Gyasi
4,Spezia,Reca
4,Spezia,Bastoni S.
4,Spezia,Bourabia
4,Spezia,Kovalenko
4,Spezia,Holm
4,Spezia,Nikolaou
4,Spezia,Kiwior
4,Spezia,Hristov
4,Spezia,Dragowski
4,Napoli,Meret
4,Napoli,Di Lorenzo
4,Napoli,Ostigard
4,Napoli,Kim
4,Napoli,Olivera
4,Napoli,Ndombele'
4,Napoli,Zambo Anguissa
4,Napoli,Politano
4,Napoli,Raspadori
4,Napoli,Elmas
4,Napoli,Osimhen
4,Lecce,Colombo
4,Lecce,Banda
4,Lecce,Askildsen
4,Lecce,Hjulmand
4,Lecce,Helgason
4,Lecce,Pezzella Giu.
4,Lecce,Tuia
4,Lecce,Baschirotto
4,Lecce,Gendrey
4,Lecce,Falcone
4,Atalanta,Musso
4,Atalanta,Toloi
4,Atalanta,Demiral
4,Atalanta,Okoli
4,Atalanta,Zappacosta
4,Atalanta,De Roon
4,Atalanta,Koopmeiners
4,Atalanta,Soppy
4,Atalanta,Ederson D.s.
4,Atalanta,Pasalic
4,Atalanta,Zapata D.
4,Torino,Seck
4,Torino,Vlasic
4,Torino,Aina
4,Torino,Lukic
4,Torino,Linetty
4,Torino,Lazaro
4,Torino,Rodriguez R.
4,Torino,Buongiorno
4,Torino,Djidji
4,Torino,Milinkovic-Savic V.
4,Bologna,Skorupski
4,Bologna,Soumaoro
4,Bologna,Medel
4,Bologna,Lucumi'
4,Bologna,Kasius
4,Bologna,Schouten
4,Bologna,Dominguez
4,Bologna,Cambiaso
4,Bologna,Sansone
4,Bologna,Vignato
4,Bologna,Arnautovic
4,Salernitana,Dia
4,Salernitana,Bradaric
4,Salernitana,Vilhena
4,Salernitana,Coulibaly L.
4,Salernitana,Maggiore
4,Salernitana,Mazzocchi
4,Salernitana,Fazio
4,Salernitana,Gyomber
4,Salernitana,Bronn
4,Salernitana,Sepe
5,Fiorentina,Terracciano
5,Fiorentina,Dodo'
5,Fiorentina,Milenkovic
5,Fiorentina,Igor
5,Fiorentina,Biraghi
5,Fiorentina,Barak
5,Fiorentina,Amrabat
5,Fiorentina,Maleh
5,Fiorentina,Kouame'
5,Fiorentina,Jovic
5,Fiorentina,Sottil
5,Juventus,Milik
5,Juventus,Di Maria
5,Juventus,Locatelli
5,Juventus,Paredes
5,Juventus,Mckennie
5,Juventus,Alex Sandro
5,Juventus,Danilo
5,Juventus,Bremer
5,Juventus,Cuadrado
5,Juventus,Perin
5,Milan,Maignan
5,Milan,Calabria
5,Milan,Kalulu
5,Milan,Tomori
5,Milan,Hernandez T.
5,Milan,Bennacer
5,Milan,Tonali
5,Milan,Messias
5,Milan,De Ketelaere
5,Milan,Rafael Leao
5,Milan,Giroud
5,Inter,Correa
5,Inter,Darmian
5,Inter,Calhanoglu
5,Inter,Brozovic
5,Inter,Barella
5,Inter,Dumfries
5,Inter,Bastoni
5,Inter,De Vrij
5,Inter,Skriniar
5,Inter,Handanovic
5,Lazio,Provedel
5,Lazio,Lazzari
5,Lazio,Patric
5,Lazio,Romagnoli
5,Lazio,Marusic
5,Lazio,Milinkovic-Savic
5,Lazio,Cataldi
5,Lazio,Luis Alberto
5,Lazio,Felipe Anderson
5,Lazio,Immobile
5,Lazio,Zaccagni
5,Napoli,Osimhen
5,Napoli,Lozano
5,Napoli,Zielinski
5,Napoli,Lobotka
5,Napoli,Zambo Anguissa
5,Napoli,Mario Rui
5,Napoli,Kim
5,Napoli,Rrahmani
5,Napoli,Di Lorenzo
5,Napoli,Meret
5,Cremonese,Radu I.
5,Cremonese,Aiwu
5,Cremonese,Chiriches
5,Cremonese,Lochoshvili
5,Cremonese,Ghiglione
5,Cremonese,Escalante
5,Cremonese,Pickel
5,Cremonese,Valeri
5,Cremonese,Zanimacchia
5,Cremonese,Dessers
5,Cremonese,Okereke
5,Sassuolo,Pinamonti
5,Sassuolo,Lauriente'
5,Sassuolo,Thorstvedt
5,Sassuolo,Lopez M.
5,Sassuolo,Frattesi
5,Sassuolo,Rogerio
5,Sassuolo,Ferrari G.
5,Sassuolo,Erlic
5,Sassuolo,Toljan
5,Sassuolo,Consigli
5,Spezia,Dragowski
5,Spezia,Hristov
5,Spezia,Kiwior
5,Spezia,Nikolaou
5,Spezia,Holm
5,Spezia,Kovalenko
5,Spezia,Bourabia
5,Spezia,Bastoni S.
5,Spezia,Reca
5,Spezia,Gyasi
5,Spezia,Nzola
5,Bologna,Barrow
5,Bologna,Orsolini
5,Bologna,Lykogiannis
5,Bologna,Schouten
5,Bologna,Moro N.
5,Bologna,De Silvestri
5,Bologna,Lucumi'
5,Bologna,Medel
5,Bologna,Soumaoro
5,Bologna,Skorupski
5,Verona,Montipo'
5,Verona,Dawidowicz
5,Verona,Hien
5,Verona,Coppola D.
5,Verona,Terracciano F.
5,Verona,Miguel Veloso
5,Verona,Ilic
5,Verona,Doig
5,Verona,Lazovic
5,Verona,Lasagna
5,Verona,Henry
5,Sampdoria,Quagliarella
5,Sampdoria,Sabiri
5,Sampdoria,Rincon
5,Sampdoria,Vieira
5,Sampdoria,Verre
5,Sampdoria,Augello
5,Sampdoria,Colley
5,Sampdoria,Ferrari A.
5,Sampdoria,Bereszynski
5,Sampdoria,Audero
5,Udinese,Silvestri
5,Udinese,Rodrigo Becao
5,Udinese,Bijol
5,Udinese,Perez N.
5,Udinese,Pereyra
5,Udinese,Arslan
5,Udinese,Walace
5,Udinese,Samardzic
5,Udinese,Udogie
5,Udinese,Success
5,Udinese,Deulofeu
5,Roma,Pellegrini Lo.
5,Roma,Dybala
5,Roma,Spinazzola
5,Roma,Matic
5,Roma,Cristante
5,Roma,Karsdorp
5,Roma,Ibanez
5,Roma,Smalling
5,Roma,Mancini
5,Roma,Rui Patricio
5,Monza,Di Gregorio
5,Monza,Marlon
5,Monza,Mari'
5,Monza,Caldirola
5,Monza,Birindelli
5,Monza,Pessina
5,Monza,Rovella
5,Monza,Sensi
5,Monza,Carlos Augusto
5,Monza,Caprari
5,Monza,Mota
5,Atalanta,Ederson D.s.
5,Atalanta,Malinovskyi
5,Atalanta,Lookman
5,Atalanta,Koopmeiners
5,Atalanta,De Roon
5,Atalanta,Zappacosta
5,Atalanta,Demiral
5,Atalanta,Toloi
5,Atalanta,Hateboer
5,Atalanta,Musso
5,Salernitana,Sepe
5,Salernitana,Bronn
5,Salernitana,Fazio
5,Salernitana,Gyomber
5,Salernitana,Candreva
5,Salernitana,Maggiore
5,Salernitana,Coulibaly L.
5,Salernitana,Vilhena
5,Salernitana,Mazzocchi
5,Salernitana,Dia
5,Salernitana,Bonazzoli
5,Empoli,Satriano
5,Empoli,Pjaca
5,Empoli,Henderson L.
5,Empoli,Grassi
5,Empoli,Haas
5,Empoli,Parisi
5,Empoli,Luperto
5,Empoli,Ismajli
5,Empoli,Stojanovic
5,Empoli,Vicario
5,Torino,Milinkovic-Savic V.
5,Torino,Djidji
5,Torino,Schuurs
5,Torino,Rodriguez R.
5,Torino,Lazaro
5,Torino,Lukic
5,Torino,Ilkhan
5,Torino,Vojvoda
5,Torino,Vlasic
5,Torino,Radonjic
5,Torino,Pellegri
5,Lecce,Ceesay
5,Lecce,Di Francesco F.
5,Lecce,Gonzalez J.
5,Lecce,Hjulmand
5,Lecce,Bistrovic
5,Lecce,Gallo
5,Lecce,Baschirotto
5,Lecce,Tuia
5,Lecce,Gendrey
5,Lecce,Falcone
6,Napoli,Meret
6,Napoli,Di Lorenzo
6,Napoli,Rrahmani
6,Napoli,Juan Jesus
6,Napoli,Mario Rui
6,Napoli,Zambo Anguissa
6,Napoli,Ndombele'
6,Napoli,Elmas
6,Napoli,Politano
